region,avg,beryl_region
ICd,"[array([12.21759814, 12.32998692, 12.13246421, 12.2667417 , 11.95145036,
       11.84148795, 12.10773925, 12.17749954, 12.23215743, 11.77661594,
       12.2410924 , 12.14967072, 11.96952926, 11.86679063, 12.23408913,
       11.6312833 , 11.82811451, 11.7344878 , 12.09197944, 11.51316949,
       11.78845436, 11.79951756, 11.91395835, 12.11272681, 12.12242842,
       11.64066602, 12.18757644, 12.40485773, 12.01548656, 11.51182832,
       11.93800728, 11.79136319, 11.91671044, 11.95191797, 12.01104376,
       11.9766092 , 11.93403475, 11.60933841, 11.93532938, 11.70424193,
       12.07841743, 12.03005281, 12.075715  , 11.95098521, 11.50674967,
       11.8554507 , 11.75195516, 12.16685489, 11.50289349, 12.0720149 ,
       11.50392073, 14.48521356, 14.51739215, 16.94810783, 14.77283934,
       13.32810768, 12.81313849, 13.30484575, 13.32101497, 13.8711144 ,
       14.39994999, 17.63945547, 19.49524811, 19.38578909, 19.28502117,
       19.32877731, 18.95037908, 18.67499217, 18.38635719, 17.72383789,
       18.29391615, 17.92001063, 17.22220303, 17.23106662, 16.50917811,
       16.9806962 , 16.84365729, 17.01071975, 17.36952323, 17.69124669,
       17.19531708, 17.3357554 , 17.48304666, 17.56102582, 17.36177667,
       18.11772063, 17.89766212, 17.4735536 , 17.19899265, 17.41215639,
       17.24404962, 17.22658094, 17.50457659, 17.69795371, 17.13915355,
       17.16640879, 17.43717171, 16.96608859, 16.54617842, 16.87205525,
       16.42124609, 17.53931725, 16.90688254, 16.93124108, 17.19886703,
       16.67976312, 16.16436606, 17.08174716, 16.33342148, 16.55744319,
       16.4314312 , 16.62251683, 16.40640986, 16.53495209, 16.61829613,
       16.1534904 , 16.05907341, 16.37630995, 16.37724986, 15.82103692,
       15.79435463, 16.26295002, 15.6483899 , 15.76162635, 16.03887821,
       15.94456733, 15.97495665, 15.59787068, 15.81606555, 15.86735767,
       15.79166752, 15.97562952, 16.12472639, 16.35516609, 15.88905962,
       15.68016789, 15.7058523 , 16.71207604, 15.89892429, 16.32991745,
       16.11304891, 16.53313546, 16.25103833, 16.04707297, 15.93243976,
       15.91223358, 15.59605544, 16.20957403, 16.28497395, 15.7765049 ])]",IC
NTS,"[array([ 5.35374557,  5.48244357,  5.28298509,  5.43847529,  5.09170187,
        5.19742714,  5.17489613,  4.8863359 ,  5.10598489,  4.88697176,
        5.54120394,  5.19353684,  5.04659927,  5.30001799,  5.15777091,
        5.11384244,  4.86324373,  5.09273044,  5.16031057,  5.21763703,
        5.30270475,  5.10798665,  5.25801156,  5.37428874,  5.34272006,
        5.3308232 ,  5.00628391,  5.16376424,  5.40656835,  5.13857856,
        5.44324861,  5.38106131,  5.46348436,  5.45493046,  5.912016  ,
        5.63048182,  5.46085803,  5.70049923,  5.20441004,  5.25343805,
        5.41508249,  5.88155967,  5.72385889,  5.18950881,  5.27238052,
        5.50419061,  5.71249124,  5.44530844,  5.47058001,  5.73037333,
        5.78565749,  6.01431073,  6.08458586,  6.15087935,  5.75018514,
        5.93666489,  6.42478811,  6.76903729,  6.67465815,  6.87410396,
        7.41963055,  6.97459104,  8.22083743,  8.09668534,  8.47725323,
        9.35165472,  9.28072733,  9.8891832 , 10.32101114, 10.46684508,
       10.2119786 , 10.48959024,  9.72464927,  9.41155957,  9.73137005,
        9.01714521,  8.75897958,  8.8347604 ,  8.44525753,  8.64596228,
        9.0717373 ,  9.21021948,  9.67120369,  9.02738709,  9.56239481,
        9.5743862 ,  9.26526149,  9.12363184,  9.16519569,  9.0172661 ,
        9.52210138,  8.9234198 ,  8.91615958,  9.34365366,  9.6840104 ,
        9.36398029,  9.83884614, 10.25482044,  9.89595816,  9.31961075,
        9.80754585,  9.49966063,  8.97919265,  9.24371686,  9.10108319,
        8.76201768, 10.1571262 ,  9.43603135,  9.4487511 ,  9.81466215,
        8.9965006 ,  9.01649796,  9.37788359,  9.34662186,  9.17787   ,
        8.59946623,  8.61284531,  8.59072452,  9.00801304,  9.44719309,
        9.17826197,  9.57914067,  9.1271228 ,  8.57300817,  9.27076139,
        8.94761625,  9.01430552,  9.21321851,  8.88494773,  8.82567803,
        8.31466583,  8.68040559,  9.00387649,  8.84591819,  8.50882875,
        8.80143664,  8.55467568,  8.74619479,  8.58755944,  8.21677779,
        8.34962306,  7.79297954,  8.21917668,  8.29903046,  7.99151407,
        8.21859043,  8.52852724,  8.32760946,  8.33827388,  8.03791871])]",NTS
MV,"[array([ 6.51617224,  6.51327916,  6.58949022,  6.37426696,  6.39281098,
        6.26155216,  6.3186207 ,  6.39621054,  6.56086443,  6.37034656,
        6.52047608,  6.43090115,  6.49956089,  6.49425568,  6.21048687,
        6.63002236,  6.26120417,  6.37955599,  6.56136034,  6.0751666 ,
        6.60149753,  6.42474772,  6.37490307,  6.45514456,  6.45838158,
        6.67379427,  6.29683909,  6.18412012,  6.46274256,  6.368435  ,
        6.33104161,  6.56785466,  6.54679992,  6.38204288,  6.56684805,
        6.6132665 ,  6.36670377,  6.66894768,  6.65131442,  6.5109188 ,
        6.5316134 ,  6.69192515,  6.5451856 ,  6.62565599,  6.59704338,
        6.63024719,  6.58156561,  6.58527172,  6.46515602,  6.42608908,
        6.03508474,  7.77370281,  9.16904327,  6.92667582,  6.1264095 ,
        5.89521854,  6.31574643,  6.1816901 ,  5.58709018,  5.95091953,
        6.55172431,  6.86612533,  7.09805898,  7.26941791,  7.60790027,
        7.81796113,  8.03792285,  8.24594825,  8.09246203,  8.45470147,
        8.48776428,  8.66455685,  8.68642326,  8.68787147,  8.79425485,
        9.28821864,  9.26350958,  9.56412172,  9.72226864,  9.78554112,
       10.21570931, 10.15320414, 10.19153041, 10.46038468, 10.42779921,
       10.34347508, 10.70209443, 10.54561707, 10.66898983, 10.65688728,
       10.96205378, 10.73014843, 10.93385464, 10.77140915, 11.14096342,
       10.96516391, 10.85182088, 10.60134974, 10.50120748, 10.57599859,
       10.35158701, 10.54476638, 10.29295716, 10.31433758, 10.47686146,
       10.36138402, 10.39888229, 10.34258461, 10.29956366, 10.26442128,
        9.94963566, 10.05054239, 10.22951777,  9.77286063, 10.11707514,
        9.72838515,  9.88903182,  9.59527168, 10.02187429,  9.56999286,
        9.8175441 ,  9.67826918,  9.50875569,  9.58452413,  9.6236032 ,
        9.48264212,  9.60016926,  9.64742031,  9.52521599,  9.5659461 ,
        9.52607869,  9.36154401,  9.63565883,  9.60727083,  9.52696011,
        9.44456213,  9.22131554,  9.43792173,  9.63716963,  9.72880597,
        9.54254075,  9.72861666,  9.71583727,  9.63229444,  9.73663578,
        9.56721469,  9.59565635,  9.53419653,  9.59381637,  9.71154631])]",MV
SPIV,"[array([ 5.49321752,  5.77886388,  5.78397091,  5.46805874,  5.76822737,
        5.47234894,  5.5851979 ,  5.34303548,  5.53041292,  5.62545266,
        5.63936147,  5.81125939,  5.74189917,  5.8138353 ,  5.97470399,
        5.77332961,  6.27259057,  5.85495684,  5.68934886,  5.67398997,
        5.83969342,  5.57010315,  5.60779213,  5.8580178 ,  5.77754153,
        5.34381234,  5.80513581,  5.54603185,  5.80816043,  5.52833338,
        5.70885923,  5.92948793,  5.38738148,  5.72984091,  5.47390718,
        5.83585367,  5.66014335,  5.75603178,  5.74492631,  5.4694438 ,
        5.72641131,  5.77724452,  5.62919347,  5.66660917,  5.51157145,
        5.76801233,  5.77555834,  5.5540002 ,  5.77750484,  5.37267432,
        5.74337348,  6.75712637,  7.6995557 ,  7.63528104,  8.05723877,
        7.78391411,  7.9760173 ,  8.26478948,  9.04141499,  9.57076494,
        9.16466445,  9.22242345, 10.15844434, 10.5555004 , 10.84535947,
       11.26416736, 11.24289855, 11.48811715, 10.90405739, 11.25011691,
       11.04460668, 11.46555949, 11.94326819, 11.63573576, 11.37439467,
       11.98535763, 12.06652839, 11.82473836, 11.46124024, 10.80342737,
       11.01121053, 10.42177985,  9.68321059,  9.92067642,  9.70032792,
        9.59208829,  9.66912375,  9.35925627,  9.92913845,  9.34427159,
        9.3946519 ,  8.75541936,  8.92018623,  8.3188044 ,  8.50019104,
        8.20209212,  8.0425356 ,  7.95634178,  7.72656153,  7.87570716,
        7.8276007 ,  7.66934857,  7.5301459 ,  7.35558133,  7.44040056,
        7.26562237,  7.11723932,  7.11867143,  6.71717791,  7.13218542,
        6.91709175,  7.05178603,  7.23454536,  6.934348  ,  6.76041515,
        6.87862582,  6.67742763,  6.78251242,  6.60067579,  7.04549291,
        7.03632053,  6.61909887,  6.60778626,  6.57516849,  6.39709756,
        6.81720033,  6.73508737,  6.36475177,  6.5442385 ,  6.55527152,
        6.00999961,  5.99089539,  6.2590412 ,  6.15082447,  5.95052205,
        6.49916063,  6.02569214,  5.92231427,  5.95038222,  6.00669908,
        6.03973671,  5.97305605,  5.88525827,  5.81883728,  5.74359494,
        5.71646793,  5.90841253,  6.1823097 ,  6.14206243,  5.93160485])]",SPIV
LAV,"[array([ 9.17303513,  8.62149532,  7.84867307,  9.17247004,  9.16070644,
        7.41498839,  8.4407742 ,  7.413985  ,  8.05392477,  9.13852857,
        7.64825358,  9.52202189,  7.55022359,  9.34421858,  8.95950272,
        7.81551584,  8.24471422,  8.50015728,  7.31774264,  8.2962549 ,
        8.00743546,  8.17334839,  8.46273292,  8.81677106,  8.62249871,
        8.57095803,  8.8483598 ,  7.44199849,  7.15261396,  8.17526281,
        8.16472175,  7.75142732,  6.68228916,  8.8101512 ,  8.2933371 ,
        7.71905433,  7.80375224,  7.66058227,  8.6078173 ,  7.11462451,
        7.9318025 ,  8.86696241,  7.83690947,  7.28402033,  8.68345027,
        6.40253466,  7.77809147,  7.52399774,  8.02233602,  7.54830918,
        7.97101449, 10.62096116,  8.40661358,  7.40244055,  8.17726959,
       10.85701738,  8.96229374,  8.21604328,  8.22353975,  8.37881925,
        8.53566723,  9.1702441 ,  9.53008344, 10.59272853, 10.99482445,
       12.50448629, 10.71585419, 12.6944915 , 12.86366817, 13.40422862,
       12.83879164, 13.10464897, 13.52870362, 12.71958718, 13.37420835,
       14.60489993, 14.1445511 , 13.94469671, 14.77507999, 14.1092603 ,
       15.02525253, 13.06935818, 12.81661377, 12.98466027, 13.07227599,
       13.09366962, 13.14499114, 12.99855743, 13.61048372, 13.52791938,
       12.64586862, 12.87386329, 12.40197001, 12.56016732, 12.16469125,
       13.42295801, 11.58513795, 11.90532699, 11.8411461 , 12.11236633,
       10.82094234, 11.64047305, 11.21776774, 11.06091976, 11.52126859,
       10.67485457, 10.71384741, 11.61302466, 11.01129349,  9.61434305,
       11.77335553, 10.51722234, 10.43095595,  9.54005941, 10.07212001,
       11.92998436, 10.25619723, 10.28857022, 10.56775963, 11.11337146,
       11.70904786, 11.16713808, 10.90263008, 10.87718846, 10.51330114,
       10.76259707, 11.46323483,  9.22614429, 11.65885651, 11.2473497 ,
       10.93713663, 10.58545122, 11.71654433, 11.37160555, 10.33057324,
       11.16186755, 10.84952091,  9.83828973, 10.19825585, 10.08309937,
       10.72068642, 10.32521035,  8.4985888 , 10.60819417,  9.67865072,
       10.56092063, 10.59407785, 10.81209655, 10.83775732, 10.30638859])]",LAV
SUV,"[array([11.17089247, 12.09296228, 12.68044737, 12.94444253, 12.24432343,
       11.78695452, 12.6732636 , 12.16073844, 12.04036536, 11.73928303,
       12.66610334, 11.04376518, 11.98103236, 12.61191458, 12.09513436,
       11.66062861, 11.34592612, 12.01866639, 11.91380189, 11.49435855,
       12.82042204, 11.48532967, 11.17650162, 12.01235575, 12.41419633,
       11.20377108, 11.64692965, 12.03840158, 11.88806668, 12.56544639,
       11.12118202, 11.45186969, 11.13292689, 12.06835121, 11.03174051,
       11.30292248, 11.33469345, 11.46954599, 11.12579005, 10.77087123,
       12.15897611, 11.50560725, 11.43266122, 11.12315775, 11.93050344,
       11.86010215, 11.61211078, 10.88526742, 10.97974348,  9.70792424,
        7.03871077,  5.98796701,  4.58442696,  5.69379392,  6.0900188 ,
        6.27000959,  4.91794982,  5.47075127,  5.10062474,  5.47981584,
        4.76958844,  4.73419323,  4.00628743,  4.24861263,  3.57941338,
        4.49026469,  3.97054122,  4.06016267,  3.95112893,  3.77055523,
        3.98886925,  4.27655576,  4.56587858,  4.89832597,  4.42991863,
        4.36903229,  4.39705394,  4.60771498,  4.19142373,  3.77174526,
        4.15374423,  4.66259328,  4.80446336,  4.98648838,  5.162359  ,
        5.67417036,  5.27504275,  5.19605124,  4.87469635,  5.99991992,
        5.72445281,  5.58836487,  6.0008188 ,  7.04083481,  6.17120365,
        7.77213447,  7.37739456,  6.58678833,  6.91818244,  7.26755928,
        6.50569781,  6.94577741,  7.61278308,  7.56478693,  8.20705096,
        8.76036943,  7.65811544,  8.1796153 ,  8.32131906,  7.94908204,
        8.31465228,  8.14435766,  8.4617378 ,  7.96996704,  7.72371666,
        8.91281969,  8.15390859,  8.21745348,  8.5217059 ,  8.74254419,
        7.95002603,  8.13567746,  7.92503061,  7.89727725,  8.61992528,
        8.88913617,  8.52534437,  8.58433319,  9.01170287,  8.83362663,
        7.78456245,  7.93677074,  8.34020982,  8.63843859,  7.95767255,
        8.86477896,  8.58991389,  9.20374352,  8.50345132,  8.2472184 ,
        8.87730379,  9.02380328,  9.66725533,  8.40602198,  7.73751316,
        8.64246361,  8.53058835,  9.300644  ,  8.96027952,  9.11968139])]",SUV
uf,"[array([ 5.92803147,  5.92280627,  5.92978644,  5.88303739,  5.84702318,
        5.93236825,  5.87384221,  5.82802439,  5.78959975,  5.79932769,
        5.82008543,  5.81722353,  5.77925711,  5.80965344,  5.78995207,
        5.75044604,  5.73775394,  5.79422676,  5.72316216,  5.81145228,
        5.80176799,  5.7929386 ,  5.77658935,  5.78810917,  5.78513584,
        5.76308766,  5.83668604,  5.75981788,  5.76856311,  5.77281247,
        5.78487601,  5.77066926,  5.75631241,  5.8575189 ,  5.80637959,
        5.81558225,  5.79271012,  5.85519539,  5.81447272,  5.81648981,
        5.82425108,  5.88397156,  5.81610403,  5.94406385,  5.86066943,
        5.87532561,  5.91237065,  5.9453735 ,  5.92109299,  5.87355523,
        6.3009433 ,  8.77668313,  7.73414671,  7.6294595 ,  8.25599275,
        8.94476235,  9.42416183,  9.69469896,  9.98246517, 10.38013382,
       10.58291271, 11.00413779, 11.0826642 , 11.19286286, 11.17161569,
       11.17588569, 11.15054231, 11.07799451, 11.07830689, 10.96973913,
       10.89371046, 10.94385049, 10.85936723, 10.78304347, 10.73882332,
       10.79525479, 10.75200814, 10.64792921, 10.76381146, 10.75126131,
       10.6897312 , 10.79521448, 10.68728598, 10.62737771, 10.65790749,
       10.68161301, 10.51310067, 10.55477603, 10.36198615, 10.36877463,
       10.34842287, 10.27246363, 10.16880292, 10.11379368, 10.0985523 ,
       10.11179524, 10.00415857,  9.94233257,  9.91285778,  9.8902253 ,
        9.8154307 ,  9.76004372,  9.66118937,  9.62870789,  9.58601646,
        9.48791792,  9.55583728,  9.46465909,  9.51450216,  9.46575252,
        9.42327645,  9.39264948,  9.35586476,  9.3689525 ,  9.30051193,
        9.26069627,  9.24263618,  9.29592451,  9.27260653,  9.23240734,
        9.18236793,  9.16769956,  9.19918364,  9.13888505,  9.07420192,
        9.12293739,  9.06488774,  9.10666557,  9.11151027,  9.05813034,
        9.01444531,  8.91738857,  8.97391907,  8.9567285 ,  8.95032416,
        8.86400427,  8.85793267,  8.81277682,  8.87073631,  8.8298692 ,
        8.78174678,  8.82925053,  8.7905272 ,  8.7520711 ,  8.73577752,
        8.69326761,  8.74451284,  8.75911038,  8.67780924,  8.71035013])]",uf
SPVC,"[array([ 4.14655784,  4.00243433,  3.44984558,  3.87938095,  3.92013934,
        3.89393417,  3.26240886,  4.72241695,  4.57583762,  4.49520166,
        2.7035405 ,  3.60449211,  3.1837709 ,  4.0061161 ,  2.9577822 ,
        3.07182892,  2.42907464,  2.69951913,  3.94855773,  3.90762513,
        2.26806713,  3.42845857,  3.27988124,  2.94356859,  2.85118984,
        2.60649335,  3.26676984,  3.67628946,  3.82618357,  2.7488429 ,
        2.95260679,  3.20807508,  2.44281544,  2.70583093,  4.2628608 ,
        2.7515133 ,  3.61606951,  3.67094866,  2.91863302,  3.28501364,
        3.51850653,  3.37912598,  3.02962937,  2.7194877 ,  2.10545041,
        3.1750293 ,  2.85700345,  2.109646  ,  2.89678202,  3.86991095,
        2.97915157,  2.7832423 ,  2.41724166,  3.24569907,  3.64966066,
        4.92933288,  4.08314749,  5.18238899,  6.10038054, 10.00689437,
       11.05918125, 12.36435004, 10.44776454,  9.52162858, 10.33155242,
       11.48470888, 13.63362844, 13.06611332, 12.10391476, 12.73237342,
       12.43918414, 11.32926785, 13.41168985, 14.44484861, 14.33999601,
       15.87495349, 14.88057756, 14.9443569 , 14.60098842, 13.2268737 ,
       13.36793802, 13.55940494, 15.51334938, 15.56908396, 17.3553203 ,
       13.90589154, 14.05366326, 15.0516122 , 16.11411869, 14.20046599,
       14.69845855, 15.10106917, 15.83073902, 14.29505115, 15.39912844,
       15.61459212, 15.83600261, 15.484972  , 16.37691696, 16.35961878,
       18.34235543, 16.1447845 , 14.50089706, 16.79136056, 16.39062356,
       16.05083755, 14.73137113, 13.64559627, 15.70511289, 16.79882375,
       14.27290155, 15.15441432, 15.76345923, 16.36723855, 16.97263525,
       16.44834732, 14.71889794, 15.72824806, 16.03356411, 17.04304743,
       14.97047805, 13.81224319, 14.8193889 , 14.14807421, 13.59099809,
       16.15311703, 14.5647154 , 14.37105972, 14.08318386, 15.28017846,
       15.22248689, 14.97779922, 13.27220765, 14.6165188 , 13.07093994,
       14.27134216, 11.96734427, 13.91420815, 13.27079803, 13.43109278,
       11.63217684, 12.59495696, 11.24220481, 13.51922612, 13.25461088,
       14.76945711, 14.12266583, 13.1778309 , 11.95988109, 12.26166314])]",SPVC
SPVI,"[array([ 4.88600884,  4.6873546 ,  4.7844967 ,  4.61035853,  4.51432405,
        4.9882984 ,  4.69486242,  4.65587529,  4.43542384,  4.52623125,
        4.50822968,  4.68197684,  4.7038711 ,  4.71599827,  4.82073228,
        4.60816482,  4.51326218,  4.34899295,  4.70851639,  4.37817827,
        4.63489553,  4.38009704,  4.49977903,  4.58753799,  4.67862188,
        4.84271387,  4.5106809 ,  4.74757226,  4.56723105,  4.80927771,
        4.96889371,  4.49121546,  4.68578174,  5.10170691,  5.01929422,
        4.80487415,  5.04845215,  5.06823463,  5.09377028,  5.06502963,
        4.91099434,  4.86223075,  4.64574136,  4.79870877,  5.01063935,
        4.98895075,  5.06019888,  5.16507461,  4.98400379,  4.92153515,
        4.90252403,  5.52202933,  6.58042515,  7.72907901,  8.79371427,
        9.41995595, 10.0822908 , 11.27342801, 12.11115771, 12.79362029,
       14.18619691, 14.60182485, 15.65956828, 16.53556188, 17.41386472,
       17.91484425, 17.45800059, 17.25076396, 17.68144271, 17.49156184,
       18.30401002, 17.49094075, 17.44702823, 16.99959636, 16.70111684,
       17.70986017, 16.88297597, 16.48079723, 16.35084143, 16.22571022,
       16.10467233, 15.67179224, 16.27316563, 16.38806072, 16.39208589,
       16.0189079 , 16.25227988, 15.96835974, 15.27079598, 15.44468565,
       15.39001261, 14.61053557, 14.57184999, 14.89646805, 14.71974592,
       14.54838105, 15.14309934, 14.63874944, 14.38503392, 14.15003577,
       14.34986893, 13.8508408 , 13.82376812, 13.85473081, 13.39115725,
       13.92952434, 13.83050107, 13.27439388, 13.45221877, 13.31399301,
       13.12614213, 13.0225643 , 13.14685467, 13.06093241, 13.07703513,
       13.7730337 , 13.01668413, 13.16102392, 13.16226621, 12.95490525,
       13.25166594, 12.5265055 , 12.39832194, 12.86745574, 12.68476466,
       11.92070372, 12.08875745, 11.74457354, 11.74966893, 11.87135329,
       12.03074793, 11.62308771, 11.79159341, 11.53315946, 11.87292365,
       11.49119984, 10.95419448, 11.15988367, 10.76789105, 10.70056729,
       10.3446547 , 10.2863647 , 10.12839819, 10.39731635, 10.41419934,
       10.72348011, 10.32138194, 10.43158005, 10.35449058,  9.97351182])]",SPVI
fi,"[array([ 5.92803147,  5.92280627,  5.92978644,  5.88303739,  5.84702318,
        5.93236825,  5.87384221,  5.82802439,  5.78959975,  5.79932769,
        5.82008543,  5.81722353,  5.77925711,  5.80965344,  5.78995207,
        5.75044604,  5.73775394,  5.79422676,  5.72316216,  5.81145228,
        5.80176799,  5.7929386 ,  5.77658935,  5.78810917,  5.78513584,
        5.76308766,  5.83668604,  5.75981788,  5.76856311,  5.77281247,
        5.78487601,  5.77066926,  5.75631241,  5.8575189 ,  5.80637959,
        5.81558225,  5.79271012,  5.85519539,  5.81447272,  5.81648981,
        5.82425108,  5.88397156,  5.81610403,  5.94406385,  5.86066943,
        5.87532561,  5.91237065,  5.9453735 ,  5.92109299,  5.87355523,
        6.3009433 ,  8.77668313,  7.73414671,  7.6294595 ,  8.25599275,
        8.94476235,  9.42416183,  9.69469896,  9.98246517, 10.38013382,
       10.58291271, 11.00413779, 11.0826642 , 11.19286286, 11.17161569,
       11.17588569, 11.15054231, 11.07799451, 11.07830689, 10.96973913,
       10.89371046, 10.94385049, 10.85936723, 10.78304347, 10.73882332,
       10.79525479, 10.75200814, 10.64792921, 10.76381146, 10.75126131,
       10.6897312 , 10.79521448, 10.68728598, 10.62737771, 10.65790749,
       10.68161301, 10.51310067, 10.55477603, 10.36198615, 10.36877463,
       10.34842287, 10.27246363, 10.16880292, 10.11379368, 10.0985523 ,
       10.11179524, 10.00415857,  9.94233257,  9.91285778,  9.8902253 ,
        9.8154307 ,  9.76004372,  9.66118937,  9.62870789,  9.58601646,
        9.48791792,  9.55583728,  9.46465909,  9.51450216,  9.46575252,
        9.42327645,  9.39264948,  9.35586476,  9.3689525 ,  9.30051193,
        9.26069627,  9.24263618,  9.29592451,  9.27260653,  9.23240734,
        9.18236793,  9.16769956,  9.19918364,  9.13888505,  9.07420192,
        9.12293739,  9.06488774,  9.10666557,  9.11151027,  9.05813034,
        9.01444531,  8.91738857,  8.97391907,  8.9567285 ,  8.95032416,
        8.86400427,  8.85793267,  8.81277682,  8.87073631,  8.8298692 ,
        8.78174678,  8.82925053,  8.7905272 ,  8.7520711 ,  8.73577752,
        8.69326761,  8.74451284,  8.75911038,  8.67780924,  8.71035013])]",fi
SSp-ul1,"[array([ 2.20497173,  2.20329286,  1.94603653,  2.0098422 ,  1.74098694,
        2.10806404,  2.11796429,  2.19089461,  2.25473932,  2.0949696 ,
        2.3002087 ,  2.1377383 ,  1.90143109,  1.87943997,  2.25714941,
        2.2280693 ,  2.06695876,  1.98897778,  1.99711072,  2.10406022,
        1.88112623,  1.95199967,  1.9493012 ,  2.20022649,  2.08893211,
        2.34207833,  2.42222076,  2.08936326,  2.02748211,  2.14177696,
        2.12153726,  2.23168404,  2.02004148,  1.87752592,  2.12840438,
        2.15867542,  2.23272388,  2.41750915,  1.94826044,  2.14450512,
        2.22369053,  2.19934482,  2.1627381 ,  2.43619487,  2.24734314,
        2.24534262,  2.29875299,  2.1561436 ,  2.63537923,  2.52441139,
        2.5728316 ,  2.86579332,  2.91034983,  2.49471553,  2.68484005,
        3.14697428,  4.2345199 ,  5.72440866,  7.32768545,  8.52917788,
       10.18583089, 12.63753054, 13.61735856, 14.32585705, 15.53029977,
       16.15646801, 16.61555987, 17.26349777, 16.76712458, 16.23378807,
       16.21592614, 15.67935366, 14.25546025, 14.052856  , 13.84659256,
       12.55427422, 11.6899228 , 11.76212699, 11.00039366, 10.14297661,
        9.67546561,  9.28594652,  9.07762236,  8.77540565,  8.45533272,
        7.92759786,  8.04594004,  7.83153942,  8.28408365,  8.10094943,
        7.82221316,  8.67964521,  8.3941997 ,  8.71486077,  8.27368733,
        8.62562218,  8.18465458,  8.27846862,  8.34140734,  8.27400246,
        7.96996681,  7.98782757,  8.06490257,  8.14853783,  7.91438025,
        7.92715469,  7.87631708,  7.74564213,  8.03855138,  8.10067094,
        7.75463182,  7.58629163,  7.09231295,  7.15836581,  7.23982158,
        7.47279532,  7.17115734,  6.67598641,  7.20972417,  7.21398077,
        7.19751485,  7.1231632 ,  6.80253524,  6.80512061,  6.73228573,
        7.14274648,  6.24718518,  6.48456427,  6.53100834,  6.47849015,
        6.86591558,  6.21814652,  6.51166346,  6.86493846,  6.75427585,
        6.71584752,  6.50688628,  6.24589077,  6.28096101,  6.77010151,
        6.63558573,  6.31761074,  6.14078998,  5.80853126,  6.46022284,
        5.94219026,  5.77081609,  6.03831223,  5.74790514,  5.839822  ])]",SSp-ul
IRN,"[array([ 5.34121715,  5.22816226,  5.28303228,  5.29484567,  5.18296249,
        5.14704253,  5.26469012,  5.06892908,  5.06479733,  5.02261346,
        4.89544261,  4.82811887,  4.92833387,  4.90040693,  4.76230487,
        4.78881891,  4.83409184,  4.69087606,  4.92688735,  4.68962265,
        4.83822401,  4.79308585,  4.76956929,  4.66969559,  4.76080505,
        4.76885984,  4.87658042,  4.62772977,  4.61859213,  4.6138373 ,
        4.754951  ,  4.52413367,  4.6914971 ,  4.69211873,  4.54503263,
        4.71690321,  4.61508013,  4.63690938,  4.64283328,  4.82773116,
        4.75547024,  4.76028859,  4.7142416 ,  4.79919052,  4.73218908,
        4.79236626,  4.8533691 ,  4.8843823 ,  4.94671008,  4.86094505,
        5.24728778,  4.84648833,  5.81571908,  7.14319077,  7.85604131,
        9.18590875,  9.40791578,  9.86158731, 11.02341236, 12.30503627,
       12.77829278, 13.62651805, 14.61532184, 15.84380083, 16.34728574,
       17.1971943 , 18.11387222, 18.60197205, 19.32205807, 19.84836437,
       19.88959239, 19.91414321, 20.20028694, 20.25638602, 20.28862953,
       20.39354241, 20.70783069, 20.45703564, 21.13609141, 21.18275443,
       21.49716384, 21.85107028, 21.86925368, 22.13312623, 21.97856664,
       21.86678461, 22.03986982, 21.71014433, 21.94181564, 21.52886952,
       21.28767734, 20.8941425 , 20.97671582, 21.13344372, 20.95501055,
       20.87148997, 21.10583034, 20.78848671, 21.20767157, 21.44285452,
       21.11398636, 20.97605976, 20.58635469, 20.45561971, 20.32333757,
       20.28789296, 20.56783065, 20.33905668, 20.10552016, 20.12446549,
       20.15994496, 19.89662199, 20.32594184, 20.08947362, 19.99959929,
       19.6262095 , 19.81719526, 19.40889152, 19.40595285, 19.32908888,
       19.3224693 , 19.00771204, 18.87011682, 18.99832415, 18.86620367,
       18.88546108, 18.89489701, 18.74347012, 18.66770634, 18.4755876 ,
       18.45578926, 18.21943123, 18.15623402, 18.0308438 , 17.90909439,
       17.41037853, 17.57541862, 17.43173818, 17.54237623, 17.4000759 ,
       17.204603  , 17.01002758, 17.36143828, 17.16905035, 16.98190292,
       16.64779559, 16.52399849, 16.28648445, 16.39843697, 15.81748579])]",IRN
